[2024-04-06 22:18:31] Options: Namespace(dataset='sp', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[75000], num_test_tasks=10000, print_freq=10, seq_len=8, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=1, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets\\splits\\surgicalphasev1TrainTestlist', path='video_datasets\\data\\surgicalphasev1_Xx256')

[2024-04-06 22:18:31] Checkpoint Directory: checkpoint

[2024-04-07 06:46:39] Task [1160/100020], Train Loss: 0.2015595, Train Accuracy: 0.9399999
[2024-04-07 06:50:54] Task [1170/100020], Train Loss: 0.0136229, Train Accuracy: 0.9899999
[2024-04-07 06:55:12] Task [1180/100020], Train Loss: 0.0887419, Train Accuracy: 0.9600000
[2024-04-07 06:59:27] Task [1190/100020], Train Loss: 0.1751885, Train Accuracy: 0.9200000
[2024-04-07 07:03:44] Task [1200/100020], Train Loss: 0.1623100, Train Accuracy: 0.9300000
[2024-04-07 07:08:03] Task [1210/100020], Train Loss: 0.0555508, Train Accuracy: 0.9700001
[2024-04-07 07:12:33] Task [1220/100020], Train Loss: 0.0446199, Train Accuracy: 0.9600000
[2024-04-07 07:16:47] Task [1230/100020], Train Loss: 0.0320905, Train Accuracy: 0.9899999
[2024-04-07 07:20:58] Task [1240/100020], Train Loss: 0.1653981, Train Accuracy: 0.9399999
[2024-04-07 07:25:11] Task [1250/100020], Train Loss: 0.1212675, Train Accuracy: 0.9800000
[2024-04-07 07:29:26] Task [1260/100020], Train Loss: 0.1252444, Train Accuracy: 0.9500000
[2024-04-07 07:33:39] Task [1270/100020], Train Loss: 0.1386780, Train Accuracy: 0.9500000
[2024-04-07 07:37:51] Task [1280/100020], Train Loss: 0.3904711, Train Accuracy: 0.9400001
[2024-04-07 07:42:06] Task [1290/100020], Train Loss: 0.0646681, Train Accuracy: 0.9800000
[2024-04-07 07:46:21] Task [1300/100020], Train Loss: 0.1717799, Train Accuracy: 0.9399999
[2024-04-07 07:50:37] Task [1310/100020], Train Loss: 0.2208290, Train Accuracy: 0.9300000
[2024-04-07 07:54:50] Task [1320/100020], Train Loss: 0.0282692, Train Accuracy: 0.9700001
[2024-04-07 07:59:04] Task [1330/100020], Train Loss: 0.0113304, Train Accuracy: 0.9899999
[2024-04-07 08:03:19] Task [1340/100020], Train Loss: 0.1030157, Train Accuracy: 0.9599999
[2024-04-07 08:07:35] Task [1350/100020], Train Loss: 0.0702320, Train Accuracy: 0.9600000
[2024-04-07 08:11:47] Task [1360/100020], Train Loss: 0.0368458, Train Accuracy: 0.9599999
[2024-04-07 08:16:01] Task [1370/100020], Train Loss: 0.0396115, Train Accuracy: 0.9700000
[2024-04-07 08:20:14] Task [1380/100020], Train Loss: 0.1286285, Train Accuracy: 0.9399999
[2024-04-07 08:24:28] Task [1390/100020], Train Loss: 0.1927936, Train Accuracy: 0.9000000
[2024-04-07 08:28:42] Task [1400/100020], Train Loss: 0.2093154, Train Accuracy: 0.9200001
[2024-04-07 08:32:58] Task [1410/100020], Train Loss: 0.0208388, Train Accuracy: 0.9899999
[2024-04-07 08:37:15] Task [1420/100020], Train Loss: 0.2217703, Train Accuracy: 0.9000000
